feature,pearson_r,n_valid,n_missing,mae
total_s,0.9998784253868838,282,0,0.11244680851063914
n_caller,0.6740097372455186,282,0,5.414893617021277
n_agent,0.8328378451373984,282,0,11.9822695035461
caller_speech_s,0.7967941283989811,282,0,6.6240425531914875
agent_speech_s,0.9967309503646284,282,0,4.839893617021275
caller_ratio,0.6900176395982096,282,0,0.044659377453602045
speech_ratio,0.8313271752448522,282,0,0.08566954383830036
turns_per_min,0.629544660849029,282,0,2.201555096788169
lat_mean,0.83639535883211,282,0,0.7389729214923805
lat_med,0.8587098525894253,282,0,0.5838475177304967
lat_std,0.6811045191530918,282,0,0.47148174577557983
lat_min,0.8602635997837755,282,0,0.3659219858156032
lat_max,0.6045790102646306,282,0,1.6322340425531918
lat_p10,0.8601733576896949,282,0,0.5115248226950356
lat_p90,0.6686806176692578,282,0,1.4958971631205675
lat_n,0.6905023974938543,282,0,4.1453900709219855
barge_in_rate,0.7810888222995412,282,0,0.08137431883316386
lat_under_05,0.7991719153454477,282,0,0.06490135209314378
lat_under_10,0.820827696676535,282,0,0.0866051119188856
lat_over_25,0.879753558959109,282,0,0.1276135713006416
lat_iqr,0.6256665480618372,282,0,0.9900797872340421
lat_cv,0.26202378102706647,282,0,0.8304048399874516
cdur_mean,0.6936771810399707,282,0,0.7899963425913442
cdur_med,0.5981917453402159,282,0,0.6115425531914889
cdur_std,0.654323077759573,282,0,0.8049459627061283
cdur_min,0.4776382676499141,282,0,0.11244680851063878
cdur_max,0.6295886857869728,282,0,2.6724822695035466
cdur_p10,0.6444271687631127,282,0,0.16671276595744702
cdur_p90,0.6236994750053662,282,0,1.7250709219858158
adur_mean,0.500004663684853,282,0,1.658700359280852
adur_med,0.3782965397545735,282,0,1.3277659574468086
adur_std,0.3892190977975923,282,0,1.4664265416764068
adur_min,0.4033368612525601,282,0,0.12351063829787176
adur_max,0.3604590215635256,282,0,5.090070921985815
adur_p10,0.3944445189353446,282,0,0.29071276595744644
adur_p90,0.3494545750740583,282,0,3.317854609929078
cdur_cv,0.6013488500339403,282,0,0.15162599392414267
ipause_mean,0.5945499282284582,245,37,0.1296792099875184
ipause_med,0.4374198850098755,245,37,0.16206122448979515
ipause_std,0.6460281332083452,245,37,0.07542002727752707
ipause_min,0.09842650034872573,245,37,0.09669387755102182
ipause_max,0.7384732273952321,245,37,0.17608163265306098
ipause_p10,0.1567378461955765,245,37,0.1044285714285712
ipause_p90,0.7162072502726082,245,37,0.17448163265306052
ipause_per_min,0.5361178285864476,282,0,1.9670282910222023
frag_ratio,,282,0,0.0
overlap_s,0.6316952776975338,282,0,2.4257801418439717
overlap_ratio,0.7696563367736278,282,0,0.03695728606714888
yield_mean,0.7446547967777253,168,114,0.5669296274162348
yield_med,0.7956767650329639,168,114,0.4904166666666668
yield_std,0.5618181760502166,168,114,0.3993732408998888
yield_min,0.8249289881996236,168,114,0.37702380952380965
yield_max,0.48569618157503264,168,114,1.0855952380952385
yield_p10,0.8267345966948502,168,114,0.3838571428571427
yield_p90,0.5890125342845257,168,114,0.8655297619047618
interrupted_n,0.5112077885330931,282,0,0.950354609929078
fill_rate,0.7139723798474049,282,0,0.03683022060681635
fill_chances,0.9800652198131385,282,0,0.15602836879432624
