feature,pearson_r,n_valid,n_missing,mae
total_s,0.9977466102178904,282,0,0.3412411347517737
n_caller,0.7926913389668235,282,0,3.9184397163120566
n_agent,0.8679345073950552,282,0,9.553191489361701
caller_speech_s,0.8921535906963926,282,0,4.972092198581559
agent_speech_s,0.9977001048056349,282,0,3.3552127659574422
caller_ratio,0.8490775004074629,282,0,0.033412290953627306
speech_ratio,0.859805962429619,282,0,0.06076515349998941
turns_per_min,0.7951481563624356,282,0,1.5841004634498206
lat_mean,0.922605247979178,282,0,0.5163325898065112
lat_med,0.9477166274501966,282,0,0.3489361702127661
lat_std,0.6820657594696368,282,0,0.41051288960196847
lat_min,0.7866469091359912,282,0,0.401631205673759
lat_max,0.7269095162548848,282,0,1.2890780141843974
lat_p10,0.8508797133542079,282,0,0.44777659574468137
lat_p90,0.7542476079091269,282,0,1.1914787234042552
lat_n,0.7859741615634325,282,0,3.4148936170212765
barge_in_rate,0.8945126334028558,282,0,0.059402574097666916
lat_under_05,0.9014264513948013,282,0,0.04564951091639617
lat_under_10,0.9223154906090275,282,0,0.055526424164890606
lat_over_25,0.9346944930842278,282,0,0.09446396316732507
lat_iqr,0.6403160934224126,282,0,0.7956648936170201
lat_cv,0.9919949733017766,282,0,0.39586118401937903
cdur_mean,0.8556146372680726,282,0,0.6465965343048495
cdur_med,0.756391915280164,282,0,0.5114184397163121
cdur_std,0.8072282451838505,282,0,0.5928659819516909
cdur_min,0.5641073868068915,282,0,0.13035460992907894
cdur_max,0.7708435789727985,282,0,1.9369148936170215
cdur_p10,0.7053304639805833,282,0,0.17406737588652468
cdur_p90,0.7860358898186954,282,0,1.344315602836879
adur_mean,0.6285011496601173,282,0,1.42020513990693
adur_med,0.4469639312121496,282,0,1.1690780141843973
adur_std,0.4473025472782588,282,0,1.1938089318168605
adur_min,0.3657325474162505,282,0,0.13237588652482188
adur_max,0.3675840408972654,282,0,4.09659574468085
adur_p10,0.43984790696440434,282,0,0.27442198581560306
adur_p90,0.45801196171177805,282,0,2.7023439716312057
cdur_cv,0.6973255623889791,282,0,0.12911987281365547
ipause_mean,0.5150428720873828,246,36,0.15549387940673767
ipause_med,0.2952143760880209,246,36,0.19089430894308848
ipause_std,0.6596941217065718,246,36,0.07595750401220984
ipause_min,0.15286502984406528,246,36,0.1466666666666683
ipause_max,0.7566832108326925,246,36,0.15699186991869943
ipause_p10,0.1553893562210466,246,36,0.14757723577235818
ipause_p90,0.6860890439706265,246,36,0.18514634146341416
ipause_per_min,0.7127519000326421,282,0,2.0696853633526073
frag_ratio,,282,0,0.12120978988291263
overlap_s,0.8977498889577775,282,0,1.8887588652482274
overlap_ratio,0.887431615409501,282,0,0.030435657981002198
yield_mean,0.8411715791519007,174,108,0.5392174578295265
yield_med,0.8156665576965473,174,108,0.5263218390804595
yield_std,0.7017790698217377,174,108,0.3800914329944656
yield_min,0.8389271619803355,174,108,0.4245977011494251
yield_max,0.740678153498011,174,108,0.8367241379310345
yield_p10,0.8432853496922524,174,108,0.4321321839080455
yield_p90,0.8126391184668097,174,108,0.7324712643678161
interrupted_n,0.7334161944930874,282,0,0.74822695035461
fill_rate,0.7482422388711955,282,0,0.030030715934971256
fill_chances,0.9766216101207099,282,0,0.1879432624113475
