frame_ms,thresh_db,min_speech,min_sil,noise_margin,lat_med,lat_mean,barge_in_rate,overlap_ratio,n_caller,min_valid,mean_priority_r
30,-46,0.1,0.2,18,0.9477166274501966,0.922605247979178,0.8945126334028558,0.887431615409501,0.7926913389668235,282,0.888991492641711
30,-46,0.1,0.3,18,0.9463319296786666,0.9265872205009421,0.9163431930702549,0.9267696771343424,0.8689196905557557,282,0.9169903421879922
30,-42,0.1,0.4,18,0.944589933065857,0.92407532570211,0.8941110664529914,0.9012370648094014,0.8599516323604102,282,0.9047930044781539
30,-46,0.1,0.4,18,0.9432659922603254,0.9328713526875526,0.9259983075932902,0.9383615764555623,0.8973743941828138,282,0.9275743246359088
30,-42,0.2,0.4,18,0.9428927734694581,0.9227978187103416,0.883400339261503,0.8975622683763218,0.8395419673936966,282,0.8972390334422642
30,-46,0.2,0.4,18,0.9426030303699678,0.9327674217466626,0.9158541553096585,0.9361627514056117,0.8905840033593019,282,0.9235942724382404
30,-46,0.2,0.2,18,0.9405421587303474,0.9270436016270227,0.8692993660040529,0.8739495759514699,0.7196722904776582,281,0.8661013985581102
30,-38,0.1,0.4,18,0.940244928816271,0.9164042950050079,0.8538319485654001,0.8531651305325504,0.7852309257658584,282,0.8697754457370175
30,-46,0.1,0.1,18,0.9390091755185163,0.9146672148288494,0.890797825599587,0.8707946004969284,0.752287153770299,282,0.873511194042836
30,-42,0.1,0.2,18,0.9383619517769914,0.9031132541861457,0.8595453769823503,0.8361241389517684,0.700518046964457,282,0.8475325537723426
30,-42,0.1,0.3,18,0.9368341431782637,0.9113373287234809,0.8843101381185301,0.8827352702406814,0.8047420160968723,282,0.8839917792715657
30,-38,0.2,0.4,18,0.9348269264061935,0.9136105065490757,0.8311842794711629,0.8431535050709784,0.737246563280867,282,0.8520043561556555
30,-42,0.2,0.2,18,0.9306381657613765,0.9042532828905421,0.8292846929971027,0.8122139826667929,0.5927409598552583,281,0.8138262168342145
30,-34,0.1,0.4,18,0.9298473911323872,0.893192985274218,0.8124976903498531,0.7843849517391779,0.6784217813513838,282,0.8196689599694039
20,-46,0.1,0.3,18,0.9297542420567075,0.9198740871403869,0.9285333705247142,0.9380557035243113,0.9088651279738306,282,0.9250165062439901
30,-46,0.3,0.4,18,0.9295467375313355,0.9208565487784781,0.89410950204996,0.9257675707849556,0.8591501361766041,282,0.9058860990642668
30,-46,0.1,0.25,18,0.9290441983015886,0.911052464599225,0.9004163157664967,0.9089942193744229,0.8222707020049139,282,0.8943555800093295
30,-42,0.1,0.1,18,0.9288036972985269,0.8945916337169889,0.8492623730645922,0.8168063452984213,0.6470595047852467,282,0.8273047108327554
30,-38,0.1,0.3,18,0.9281081300761173,0.8919413558154031,0.843742242054093,0.8239887095213317,0.6871778575492677,282,0.8349916590032425
